class_number,course_code,component,status,topic,capacity,available,waitlist,delivery_mode,instructors,days,start,end,building,room
33326,EDUC-L 799,LEC,OPEN,,15,11,0,,Daley S,,,,ARR,
33327,BUS-A 591,LEC,OPEN,,30,5,0,IN_PERSON,Andrews A,TUTH,14:25,15:50,CG,2063
3333,BIOL-L 112,DIS,CLOSED,,30,0,5,IN_PERSON,Matlack D,WE,16:20,17:10,JH,001
33334,SPH-K 412,LEC,OPEN,,30,22,0,IN_PERSON,Carter S,TUTH,08:00,09:15,BH,208
33337,SPH-K 490,LEC,OPEN,,30,15,0,,Pangelinan M,,,,WB,WEB
3334,BIOL-L 112,DIS,CLOSED,,30,0,0,IN_PERSON,Matlack D,TU,17:30,18:20,JH,001
33347,INTL-I 510,LEC,CLOSED,U.S. ASIA-PACIFIC STRATEGY,6,0,1,IN_PERSON,Liff A,WE,09:35,12:05,SB,230
33348,LING-L 490,LEC,OPEN,STRUCTURE OF KUKI-CHIN,10,2,0,IN_PERSON,Chelliah S,MOWE,12:45,14:00,BH,105
33349,LING-L 590,LEC,OPEN,,15,10,0,IN_PERSON,Chelliah S,MOWE,12:45,14:00,BH,105
33350,REEI-R 204,LEC,OPEN,"MUSIC, PROTEST IN EAST EUROPE",30,20,0,IN_PERSON,Domico P,TUTH,17:30,20:00,BH,243
33354,MUS-E 594,LEC,CLOSED,,10,0,0,IN_PERSON,Horne B,MOWEFR,11:35,12:25,MA,007
33357,SGIS-S 500,LEC,OPEN,THE UNSUSTAINABILITY OF WAR,36,1,0,IN_PERSON,Griffin C,MOWE,09:35,10:50,BH,342
33358,SGIS-S 500,LEC,OPEN,ANTHROPOLOGY OF WAR IN E EURO,30,21,0,IN_PERSON,Storey-Nagy J,TUTH,09:35,10:50,BH,307
33359,SGIS-S 500,LEC,OPEN,WINE INDUSTRY & POST-COMMUNISM,30,26,0,IN_PERSON,Otten J,MOWE,17:30,20:00,BH,307
33361,MUS-M 688,LEC,OPEN,,18,3,0,IN_PERSON,Armstrong A,TUTH,14:20,15:35,SM,344
33362,SPH-I 119,LAB,CLOSED,,35,0,1,IN_PERSON,Boyer M; Barnette M,MOWE,13:55,14:45,GF,199
33363,BIOL-T 575,LEC,CLOSED,,26,0,0,ONLINE,Rueschhoff E,,,,OL,ONLINE
33368,BUS-T 175,LEC,OPEN,,45,14,0,IN_PERSON,Hamilton L,MO,08:00,09:15,HH,4034
33369,BUS-T 175,LEC,OPEN,,45,5,0,IN_PERSON,Hamilton L,WE,08:00,09:15,HH,4034
33370,MUS-M 534,LEC,CLOSED,,7,0,0,IN_PERSON,Epperson A; Kashiwagi T,MOWE,14:20,15:35,JS,315
33371,MUS-M 634,LEC,CLOSED,,7,0,0,IN_PERSON,Epperson A; Kashiwagi T,MOWE,14:20,15:35,JS,315
33372,MUS-P 901,LEC,OPEN,,10,10,0,,Epperson A; Prestinari C,,,,ARR,
3338,SPH-K 301,LEC,CLOSED,,30,0,2,,Ecenbarger K,,,,WB,WEB
33381,BUS-C 104,BIDS,OPEN,,32,12,0,IN_PERSON,Barrett S,MOWE,08:00,09:15,WT,C115
33382,BUS-C 104,BIDS,CLOSED,,32,0,0,IN_PERSON,Barrett S,MOWE,09:35,10:50,WT,C115
33383,BUS-M 349,LEC,OPEN,,30,3,0,IN_PERSON,Olsen D,TU,15:55,18:55,HH,2047
3339,MUS-Y 701,LEC,OPEN,,5,5,0,,Cartledge D,,,,ARR,
33396,MUS-G 537,LEC,OPEN,,15,7,0,IN_PERSON,Albanese C,TUWETHFR,10:15,11:05,MA,404
33397,MUS-G 663,LEC,OPEN,,15,7,0,IN_PERSON,Albanese C,TUWETHFR,10:15,11:05,MA,404
33398,MUS-M 537,LEC,OPEN,,12,2,0,IN_PERSON,DiOrio D,MOFR,11:35,13:05,SM,271
33399,MUS-M 663,LEC,OPEN,,12,2,0,IN_PERSON,DiOrio D,MOFR,11:35,13:05,SM,271
3340,MUS-Y 701,LEC,OPEN,,5,5,0,,Cartledge D,,,,ARR,
33400,SOAD-M 219,LEC,OPEN,,20,2,1,IN_PERSON,Pearson D,MOWE,14:20,15:35,KH,112
33401,SOAD-M 219,LEC,CLOSED,,20,0,0,IN_PERSON,Pearson D,MOWE,14:20,15:35,KH,112
33403,SOAD-M 445,LEC,OPEN,,25,2,0,IN_PERSON,Lee G,MOWE,15:55,17:10,KH,116
33405,SOAD-F 352,LEC,CLOSED,,20,0,6,IN_PERSON,Rudolph N,MOWE,15:55,17:10,KH,318
33406,SOAD-F 402,LEC,OPEN,,6,4,0,IN_PERSON,Richardson K,FR,12:45,15:15,KH,302
33407,SOAD-F 411,LEC,CLOSED,,20,0,10,IN_PERSON,Romans M,TUTH,12:45,14:00,KH,318
33409,SOAD-D 366,LEC,OPEN,,45,1,0,IN_PERSON,Kane E,MOWE,09:35,10:50,KH,216
3341,MUS-G 604,LEC,OPEN,,10,9,0,,Cartledge D,,,,ARR,
